# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416332294;15037048;249487376;94.32;52080;46217196;207744220;76.12
axle;60;1416332354;14599428;249924996;94.48;52140;46232168;208178788;76.28
axle;60;1416332414;11570496;252953928;95.63;52288;48282624;209246348;76.67
axle;60;1416332474;13013084;251511340;95.08;52408;48355940;207730268;76.12
axle;60;1416332534;12978792;251545632;95.09;52536;48375744;207629280;76.08
axle;60;1416332594;10883496;253640928;95.89;52720;50631644;207478828;76.02
axle;60;1416332654;10871768;253652656;95.89;52756;50632704;207478828;76.02
axle;60;1416332714;8526672;255997752;96.78;52868;52923828;207540976;76.05
axle;60;1416332774;8563516;255960908;96.76;52984;52945892;207477624;76.02
