# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416332294;sda;35.33;0.80;8174.66;231.38;1.46;41.27;0.31;1.11
axle;60;1416332354;sda;2.85;0.00;500.03;175.39;0.01;2.76;0.26;0.07
axle;60;1416332414;sda;3.87;1.07;580.74;150.52;0.01;3.83;0.26;0.10
axle;60;1416332474;sda;3.69;0.53;606.24;164.49;0.02;4.89;0.36;0.13
axle;60;1416332534;sda;4.77;11.48;824.30;175.08;0.03;6.15;0.29;0.14
axle;60;1416332594;sda;2.57;2.27;140.85;55.74;0.00;1.14;0.16;0.04
axle;60;1416332654;sda;0.98;0.00;58.13;59.12;0.00;0.00;0.00;0.00
axle;60;1416332714;sda;1.18;0.93;73.08;62.54;0.00;1.07;0.11;0.01
axle;60;1416332774;sda;1.43;0.67;67.90;47.81;0.00;0.23;0.23;0.03
