Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

06:37:14 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:38:14 PM     all      5.29      0.00      7.27      0.10      0.00     87.34
06:39:14 PM     all      6.80      0.00      7.09      0.00      0.00     86.11
06:40:14 PM     all      6.35      0.00      6.53      0.00      0.00     87.12
06:41:14 PM     all      6.66      0.00      6.37      0.00      0.00     86.97
06:42:14 PM     all      6.46      0.00      3.08      0.01      0.00     90.45
06:43:14 PM     all      4.12      0.00      2.30      0.00      0.00     93.57
06:44:14 PM     all      5.96      0.00      0.31      0.00      0.00     93.73
06:45:14 PM     all      4.43      0.00      1.91      0.00      0.00     93.65
06:46:14 PM     all      4.65      0.00      1.74      0.00      0.00     93.61
