# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
axle;60;1416331595;-1;22.97;0.00;8.11;0.37;0.00;68.55
axle;60;1416331595;0;16.03;0.00;11.93;2.70;0.00;69.33
axle;60;1416331595;1;40.91;0.00;17.19;0.05;0.00;41.85
axle;60;1416331595;2;25.66;0.00;10.57;0.05;0.00;63.72
axle;60;1416331595;3;35.78;0.00;9.59;0.00;0.00;54.62
axle;60;1416331595;4;15.35;0.00;5.55;0.00;0.00;79.10
axle;60;1416331595;5;7.49;0.00;4.71;0.17;0.00;87.63
axle;60;1416331595;6;30.56;0.00;2.84;0.02;0.00;66.58
axle;60;1416331595;7;8.97;0.00;2.98;0.00;0.00;88.06
axle;60;1416331595;8;22.46;0.00;11.77;0.00;0.00;65.77
axle;60;1416331595;9;33.46;0.00;17.08;0.00;0.00;49.47
axle;60;1416331595;10;11.97;0.00;7.41;0.89;0.00;79.74
axle;60;1416331595;11;8.64;0.00;7.80;0.84;0.00;82.73
axle;60;1416331595;12;11.27;0.00;4.80;0.08;0.00;83.85
axle;60;1416331595;13;9.34;0.00;3.94;0.03;0.00;86.69
axle;60;1416331595;14;37.77;0.00;4.64;1.13;0.00;56.46
axle;60;1416331595;15;51.62;0.00;7.02;0.00;0.00;41.36
axle;60;1416331655;-1;12.87;0.00;6.32;0.00;0.00;80.81
axle;60;1416331655;0;6.81;0.00;17.14;0.00;0.00;76.05
axle;60;1416331655;1;17.06;0.00;16.62;0.02;0.00;66.31
axle;60;1416331655;2;16.86;0.00;3.26;0.00;0.00;79.88
axle;60;1416331655;3;0.87;0.00;3.09;0.00;0.00;96.04
axle;60;1416331655;4;35.67;0.00;3.89;0.00;0.00;60.43
axle;60;1416331655;5;29.94;0.00;4.48;0.00;0.00;65.59
axle;60;1416331655;6;0.62;0.00;1.71;0.00;0.00;97.68
axle;60;1416331655;7;0.62;0.00;1.74;0.00;0.00;97.64
axle;60;1416331655;8;14.95;0.00;11.03;0.00;0.00;74.02
axle;60;1416331655;9;39.70;0.00;14.01;0.00;0.00;46.29
axle;60;1416331655;10;2.86;0.00;5.15;0.00;0.00;92.00
axle;60;1416331655;11;1.55;0.00;5.28;0.00;0.00;93.17
axle;60;1416331655;12;6.56;0.00;4.00;0.00;0.00;89.44
axle;60;1416331655;13;28.60;0.00;3.00;0.00;0.00;68.40
axle;60;1416331655;14;1.65;0.00;3.89;0.00;0.00;94.46
axle;60;1416331655;15;1.60;0.00;2.67;0.00;0.00;95.73
axle;61;1416331715;-1;7.60;0.00;6.10;0.00;0.00;86.29
axle;61;1416331715;0;5.24;0.00;21.22;0.03;0.00;73.51
axle;61;1416331715;1;8.01;0.00;13.42;0.03;0.00;78.54
axle;61;1416331715;2;13.81;0.00;4.11;0.00;0.00;82.08
axle;61;1416331715;3;24.92;0.00;5.50;0.00;0.00;69.58
axle;61;1416331715;4;0.75;0.00;1.75;0.00;0.00;97.49
axle;61;1416331715;5;0.62;0.00;2.85;0.00;0.00;96.53
axle;61;1416331715;6;0.77;0.00;1.65;0.00;0.00;97.58
axle;61;1416331715;7;0.69;0.00;1.92;0.00;0.00;97.39
axle;61;1416331715;8;8.73;0.00;13.88;0.00;0.00;77.39
axle;61;1416331715;9;39.67;0.00;11.94;0.00;0.00;48.39
axle;61;1416331715;10;6.30;0.00;3.77;0.00;0.00;89.93
axle;61;1416331715;11;9.97;0.00;5.30;0.00;0.00;84.73
axle;61;1416331715;12;0.43;0.00;1.14;0.00;0.00;98.43
axle;61;1416331715;13;0.48;0.00;1.57;0.00;0.00;97.95
axle;61;1416331715;14;0.82;0.00;4.59;0.00;0.00;94.60
axle;61;1416331715;15;0.52;0.00;2.89;0.00;0.00;96.59
axle;60;1416331775;-1;7.95;0.00;5.51;0.00;0.00;86.54
axle;60;1416331775;0;1.52;0.00;6.77;0.02;0.00;91.69
axle;60;1416331775;1;2.12;0.00;3.35;0.00;0.00;94.53
axle;60;1416331775;2;55.54;0.00;5.20;0.00;0.00;39.26
axle;60;1416331775;3;34.46;0.00;3.03;0.00;0.00;62.50
axle;60;1416331775;4;0.47;0.00;1.05;0.00;0.00;98.48
axle;60;1416331775;5;0.52;0.00;1.28;0.00;0.00;98.20
axle;60;1416331775;6;0.10;0.00;0.69;0.00;0.00;99.21
axle;60;1416331775;7;0.05;0.00;0.75;0.00;0.00;99.20
axle;60;1416331775;8;6.88;0.00;18.87;0.02;0.00;74.24
axle;60;1416331775;9;10.78;0.00;17.36;0.00;0.00;71.86
axle;60;1416331775;10;2.60;0.00;5.05;0.00;0.00;92.34
axle;60;1416331775;11;2.30;0.00;6.69;0.00;0.00;91.01
axle;60;1416331775;12;2.18;0.00;3.81;0.00;0.00;94.02
axle;60;1416331775;13;2.12;0.00;5.29;0.00;0.00;92.59
axle;60;1416331775;14;3.48;0.00;4.23;0.03;0.00;92.26
axle;60;1416331775;15;1.96;0.00;4.68;0.02;0.00;93.34
axle;60;1416331835;-1;6.48;0.00;2.35;0.01;0.00;91.17
axle;60;1416331835;0;0.73;0.00;2.32;0.00;0.00;96.95
axle;60;1416331835;1;0.60;0.00;1.10;0.00;0.00;98.30
axle;60;1416331835;2;32.76;0.00;3.01;0.00;0.00;64.23
axle;60;1416331835;3;42.02;0.00;4.00;0.00;0.00;53.98
axle;60;1416331835;4;0.25;0.00;1.27;0.00;0.00;98.48
axle;60;1416331835;5;0.17;0.00;1.19;0.00;0.00;98.64
axle;60;1416331835;6;12.41;0.00;1.48;0.00;0.00;86.11
axle;60;1416331835;7;1.82;0.00;0.38;0.00;0.00;97.80
axle;60;1416331835;8;2.04;0.00;4.34;0.00;0.00;93.62
axle;60;1416331835;9;2.72;0.00;4.16;0.00;0.00;93.11
axle;60;1416331835;10;2.24;0.00;2.90;0.00;0.00;94.86
axle;60;1416331835;11;1.10;0.00;3.31;0.02;0.00;95.58
axle;60;1416331835;12;0.88;0.00;1.49;0.00;0.00;97.63
axle;60;1416331835;13;1.05;0.00;1.57;0.00;0.00;97.38
axle;60;1416331835;14;1.45;0.00;2.77;0.00;0.00;95.77
