# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416331595;25164232;239360192;90.49;50992;36234768;207598520;76.07
axle;60;1416331655;22896224;241628200;91.34;51056;38515616;207665180;76.09
axle;61;1416331715;22858392;241666032;91.36;51116;38533784;207592548;76.07
axle;60;1416331775;22847128;241677296;91.36;51204;38560752;207582204;76.06
axle;60;1416331835;22922232;241602192;91.33;51368;38572780;207492148;76.03
axle;60;1416331895;18711524;245812900;92.93;51424;38574808;211709448;77.57
axle;60;1416331955;18714400;245810024;92.93;51464;38576272;211709448;77.57
axle;60;1416332015;18706232;245818192;92.93;51500;38577736;211709448;77.57
axle;60;1416332075;21705128;242819296;91.79;51536;38579508;208987656;76.58
axle;60;1416332135;12423232;252101192;95.30;51560;38587260;219676764;80.49
axle;60;1416332195;15410560;249113864;94.17;51608;38592776;215144740;78.83
