task_name,s_time,e_time,diff_time,seconds
LOAD,2014-11-18 18:25:39.266724,2014-11-18 18:37:12.173943,00:11:32.907219,692.907219
PERF.POWER.RF1,2014-11-18 18:37:14.625652,2014-11-18 18:37:31.282765,00:00:16.657113,16.657113
PERF.POWER.Q14,2014-11-18 18:37:31.301152,2014-11-18 18:37:44.123556,00:00:12.822404,12.822404
PERF.POWER.Q2,2014-11-18 18:37:44.141255,2014-11-18 18:37:50.868903,00:00:06.727648,6.727648
PERF.POWER.Q9,2014-11-18 18:37:50.889904,2014-11-18 18:39:16.683608,00:01:25.793704,85.793704
PERF.POWER.Q20,2014-11-18 18:39:16.69823,2014-11-18 18:39:24.863334,00:00:08.165104,8.165104
PERF.POWER.Q6,2014-11-18 18:39:24.880073,2014-11-18 18:39:41.95789,00:00:17.077817,17.077817
PERF.POWER.Q17,2014-11-18 18:39:41.971817,2014-11-18 18:39:42.469108,00:00:00.497291,0.497291
PERF.POWER.Q18,2014-11-18 18:39:42.48192,2014-11-18 18:40:43.010461,00:01:00.528541,60.528541
PERF.POWER.Q8,2014-11-18 18:40:43.025849,2014-11-18 18:40:51.757008,00:00:08.731159,8.731159
PERF.POWER.Q21,2014-11-18 18:40:51.773435,2014-11-18 18:41:28.892757,00:00:37.119322,37.119322
PERF.POWER.Q13,2014-11-18 18:41:28.912582,2014-11-18 18:41:55.338211,00:00:26.425629,26.425629
PERF.POWER.Q3,2014-11-18 18:41:55.357821,2014-11-18 18:42:21.125265,00:00:25.767444,25.767444
PERF.POWER.Q22,2014-11-18 18:42:21.144076,2014-11-18 18:42:29.241138,00:00:08.097062,8.097062
PERF.POWER.Q16,2014-11-18 18:42:29.25421,2014-11-18 18:42:38.926949,00:00:09.672739,9.672739
PERF.POWER.Q4,2014-11-18 18:42:38.948154,2014-11-18 18:42:48.233779,00:00:09.285625,9.285625
PERF.POWER.Q11,2014-11-18 18:42:48.255225,2014-11-18 18:42:50.460227,00:00:02.205002,2.205002
PERF.POWER.Q15,2014-11-18 18:42:50.479203,2014-11-18 18:43:11.235676,00:00:20.756473,20.756473
PERF.POWER.Q1,2014-11-18 18:43:11.255544,2014-11-18 18:44:37.06686,00:01:25.811316,85.811316
PERF.POWER.Q10,2014-11-18 18:44:37.084823,2014-11-18 18:45:00.88221,00:00:23.797387,23.797387
PERF.POWER.Q19,2014-11-18 18:45:00.902655,2014-11-18 18:45:01.51967,00:00:00.617015,0.617015
PERF.POWER.Q5,2014-11-18 18:45:01.541833,2014-11-18 18:45:15.660255,00:00:14.118422,14.118422
PERF.POWER.Q7,2014-11-18 18:45:15.680496,2014-11-18 18:45:32.98786,00:00:17.307364,17.307364
PERF.POWER.Q12,2014-11-18 18:45:33.007791,2014-11-18 18:45:54.496207,00:00:21.488416,21.488416
PERF.POWER.RF2,2014-11-18 18:45:54.505583,2014-11-18 18:46:28.540207,00:00:34.034624,34.034624
PERF.POWER,2014-11-18 18:37:14.617796,2014-11-18 18:46:28.550175,00:09:13.932379,553.932379
PERF.THRUPUT.QS22.Q1,2014-11-18 18:51:10.162555,2014-11-18 18:52:45.917988,00:01:35.755433,95.755433
PERF.THRUPUT.QS22.ALL,2014-11-18 18:48:16.926122,2014-11-18 19:00:36.908305,00:12:19.982183,739.982183
