# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416332956;sda;18.22;17.95;1021.34;57.04;0.31;16.98;0.50;0.91
axle;60;1416333016;sda;7.02;0.27;877.14;125.01;0.03;4.28;0.22;0.15
axle;60;1416333076;sda;6.74;0.54;979.35;145.33;0.04;6.38;0.22;0.15
axle;60;1416333136;sda;7.62;0.13;952.06;125.02;0.05;5.94;0.18;0.14
axle;60;1416333196;sda;6.79;0.13;831.36;122.48;0.03;4.54;0.19;0.13
axle;60;1416333256;sda;4.97;0.13;782.38;157.37;0.03;5.13;0.24;0.12
axle;60;1416333316;sda;7.19;0.13;889.70;123.73;0.05;7.42;0.25;0.18
axle;60;1416333376;sda;6.66;0.27;867.56;130.33;0.04;5.37;0.19;0.13
axle;60;1416333436;sda;6.56;0.13;899.70;137.24;0.04;5.91;0.25;0.17
axle;60;1416333496;sda;6.81;0.40;835.50;122.80;0.04;5.25;0.20;0.13
axle;60;1416333556;sda;5.91;0.00;821.64;139.01;0.03;4.76;0.24;0.14
axle;60;1416333616;sda;7.51;0.27;916.88;122.06;0.05;6.25;0.23;0.17
axle;60;1416333676;sda;5.87;0.00;810.85;138.03;0.03;5.21;0.19;0.11
axle;60;1416333736;sda;2.70;0.13;214.51;79.46;0.00;1.21;0.17;0.05
axle;60;1416333796;sda;0.90;0.13;54.59;60.74;0.00;0.07;0.07;0.01
axle;60;1416333856;sda;1.07;0.00;77.42;72.50;0.00;0.00;0.00;0.00
axle;60;1416333916;sda;1.02;0.00;77.13;75.80;0.00;0.39;0.07;0.01
axle;60;1416333976;sda;0.97;0.13;62.14;64.41;0.00;0.07;0.07;0.01
axle;60;1416334036;sda;0.93;0.00;71.90;77.00;0.00;0.07;0.07;0.01
